Ref,Val,Package,PosX,PosY,Rot,Side
"C15","470nF/100V","C_0805_2012Metric",45.180000,-73.740000,0.000000,top
"C16","4.7uF","C_1210_3225Metric",65.040000,-65.170000,90.000000,top
"C17","C","C_0603_1608Metric",61.740000,-64.439000,0.000000,top
"C18","C","C_0603_1608Metric",61.755000,-61.110000,0.000000,top
"C19","C","C_0603_1608Metric",61.770000,-57.829000,0.000000,top
"C21","4.7uF","C_1210_3225Metric",124.040000,-51.820000,180.000000,top
"C22","4.7uF","C_1210_3225Metric",124.040000,-55.300000,180.000000,top
"C23","4.7uF","C_1210_3225Metric",124.040000,-58.710000,180.000000,top
"CB16","4.7uF","C_1210_3225Metric",69.740000,-65.800000,0.000000,top
"CB21","4.7uF","C_1210_3225Metric",124.040000,-62.100000,180.000000,top
"CB22","4.7uF","C_1210_3225Metric",124.040000,-65.490000,180.000000,top
"CB23","4.7uF","C_1210_3225Metric",123.990000,-68.910000,180.000000,top
"D1","schottky 30V/1A B130LAW","D_SOD-123",83.566000,-47.117000,180.000000,top
"D2","schottky 30V/1A B130LAW","D_SOD-123",81.915000,-58.280000,-90.000000,top
"D3","schottky 30V/1A B130LAW","D_SOD-123",98.552000,-47.371000,180.000000,top
"D4","schottky 30V/1A B130LAW","D_SOD-123",97.149000,-58.464000,-90.000000,top
"D5","schottky 30V/1A B130LAW","D_SOD-123",113.665000,-47.498000,180.000000,top
"D6","schottky 30V/1A B130LAW","D_SOD-123",118.745000,-47.498000,0.000000,top
"D7","LED","LED_0805_2012Metric",59.590000,-44.060000,90.000000,top
"Q1","Q_NMOS_GDS","TO-252-2",77.089000,-48.260000,90.000000,top
"Q2","Q_NMOS_GDS","TO-252-2",77.075000,-60.055000,90.000000,top
"Q3","Q_NMOS_GDS","TO-252-2",92.203000,-48.304000,90.000000,top
"Q4","Q_NMOS_GDS","TO-252-2",92.203000,-60.207000,90.000000,top
"Q5","Q_NMOS_GDS","TO-252-2",107.188000,-48.328000,90.000000,top
"Q6","Q_NMOS_GDS","TO-252-2",107.188000,-60.478000,90.000000,top
"R1","2","R_1210_3225Metric",85.471000,-50.165000,0.000000,top
"R2","2","R_1210_3225Metric",83.080000,-54.220000,0.000000,top
"R3","2","R_1210_3225Metric",100.584000,-50.292000,180.000000,top
"R4","2","R_1210_3225Metric",98.290000,-54.420000,0.000000,top
"R5","2","R_1210_3225Metric",115.443000,-50.419000,180.000000,top
"R6","2","R_1210_3225Metric",118.364000,-44.323000,0.000000,top
"R7","1000","R_0603_1608Metric",59.370000,-51.230000,-90.000000,top
"R14","1000","R_0603_1608Metric",60.950000,-51.200000,-90.000000,top
"R15","220K","R_0603_1608Metric",40.440000,-73.630000,180.000000,top
"R16","10","R_0603_1608Metric",61.740000,-66.090000,180.000000,top
"R17","10","R_0603_1608Metric",61.760000,-62.780000,180.000000,top
"R18","10","R_0603_1608Metric",61.770000,-59.480000,180.000000,top
"U1","MP6532","TSSOP-28-1EP_4.4x9.7mm_P0.65mm",49.140000,-63.231250,180.000000,top
