Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100nF","C_0603_1608Metric",41.880000,-53.510000,180.000000,top
"C8","100nF","C_0603_1608Metric",41.905000,-50.300000,180.000000,top
"C9","100nF","C_0603_1608Metric",41.920000,-51.900000,180.000000,top
"C15","470nF/100V","C_0805_2012Metric",48.400000,-73.700000,0.000000,top
"C16","4.7uF","C_1210_3225Metric",65.760000,-64.860000,180.000000,top
"C17","C","C_0603_1608Metric",61.750000,-63.550000,0.000000,top
"C18","C","C_0603_1608Metric",61.750000,-60.430000,0.000000,top
"C19","C","C_0603_1608Metric",61.750000,-57.329000,0.000000,top
"C21","4.7uF","C_1210_3225Metric",124.040000,-51.820000,180.000000,top
"C22","4.7uF","C_1210_3225Metric",124.040000,-55.300000,180.000000,top
"C23","4.7uF","C_1210_3225Metric",124.040000,-58.710000,180.000000,top
"CB16","4.7uF","C_1210_3225Metric",70.540000,-64.860000,0.000000,top
"CB21","4.7uF","C_1210_3225Metric",124.040000,-62.100000,180.000000,top
"CB22","4.7uF","C_1210_3225Metric",124.040000,-65.490000,180.000000,top
"CB23","4.7uF","C_1210_3225Metric",123.990000,-68.910000,180.000000,top
"D1","schottky 30V/1A B130LAW","D_SOD-123",83.566000,-47.117000,180.000000,top
"D2","schottky 30V/1A B130LAW","D_SOD-123",81.915000,-58.280000,-90.000000,top
"D3","schottky 30V/1A B130LAW","D_SOD-123",98.552000,-47.371000,180.000000,top
"D4","schottky 30V/1A B130LAW","D_SOD-123",97.149000,-58.464000,-90.000000,top
"D5","schottky 30V/1A B130LAW","D_SOD-123",113.665000,-47.498000,180.000000,top
"D6","schottky 30V/1A B130LAW","D_SOD-123",118.745000,-47.498000,0.000000,top
"D7","LED_R","LED_0805_2012Metric",59.590000,-44.060000,90.000000,top
"D8","LED_G","LED_0805_2012Metric",45.990000,-44.140000,0.000000,top
"D9","LED_G","LED_0805_2012Metric",45.960000,-48.450000,0.000000,top
"D10","LED_G","LED_0805_2012Metric",45.990000,-46.280000,0.000000,top
"Q1","Q_NMOS_GDS","TO-252-2",77.089000,-48.260000,90.000000,top
"Q2","Q_NMOS_GDS","TO-252-2",77.075000,-60.055000,90.000000,top
"Q3","Q_NMOS_GDS","TO-252-2",92.203000,-48.304000,90.000000,top
"Q4","Q_NMOS_GDS","TO-252-2",92.203000,-60.207000,90.000000,top
"Q5","Q_NMOS_GDS","TO-252-2",107.188000,-48.328000,90.000000,top
"Q6","Q_NMOS_GDS","TO-252-2",107.188000,-60.478000,90.000000,top
"R1","2","R_1210_3225Metric",85.471000,-50.165000,0.000000,top
"R2","2","R_1210_3225Metric",83.080000,-54.220000,0.000000,top
"R3","2","R_1210_3225Metric",100.584000,-50.292000,180.000000,top
"R4","2","R_1210_3225Metric",98.290000,-54.420000,0.000000,top
"R5","2","R_1210_3225Metric",115.443000,-50.419000,180.000000,top
"R6","2","R_1210_3225Metric",118.364000,-44.323000,0.000000,top
"R7","1000","R_0603_1608Metric",59.370000,-51.230000,-90.000000,top
"R8","10K","R_0603_1608Metric",45.270000,-53.660000,180.000000,top
"R9","10K","R_0603_1608Metric",45.270000,-50.490000,180.000000,top
"R10","10K","R_0603_1608Metric",45.270000,-52.070000,180.000000,top
"R11","10000","R_0603_1608Metric",51.680000,-56.110000,-90.000000,top
"R12","10000","R_0603_1608Metric",47.550000,-56.140000,90.000000,top
"R13","10000","R_0603_1608Metric",49.740000,-56.110000,90.000000,top
"R14","1000","R_0603_1608Metric",60.950000,-51.200000,-90.000000,top
"R15","220K","R_0603_1608Metric",42.900000,-73.630000,180.000000,top
"R16","10","R_0603_1608Metric",61.750000,-65.120000,180.000000,top
"R17","10","R_0603_1608Metric",61.750000,-61.980000,180.000000,top
"R18","10","R_0603_1608Metric",61.750000,-58.890000,180.000000,top
"R19","1000","R_0603_1608Metric",101.620000,-66.140000,180.000000,top
"R20","100m","R_1206_3216Metric",118.590000,-66.920000,180.000000,top
"R21","100m","R_1206_3216Metric",118.600000,-64.600000,180.000000,top
"R22","100m","R_1206_3216Metric",118.600000,-62.300000,180.000000,top
"R23","100m","R_1206_3216Metric",118.600000,-60.000000,180.000000,top
"R24","100m","R_1206_3216Metric",118.600000,-57.700000,180.000000,top
"U1","MP6532","QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ThermalVias",49.200000,-63.400000,135.000000,top
