Designator,Mid X,Mid Y,Layer,Rotation
C1,81.915000mm,-50.038000mm,Top,90
C2,81.915000mm,-62.344000mm,Top,90
C3,97.022000mm,-50.336000mm,Top,90
C4,97.149000mm,-62.528000mm,Top,90
C5,111.957000mm,-50.386000mm,Top,90
C6,118.870000mm,-50.850000mm,Top,90
C7,41.880000mm,-53.510000mm,Top,180
C8,41.905000mm,-50.300000mm,Top,180
C9,41.920000mm,-51.900000mm,Top,180
C10,47.100000mm,-69.800000mm,Top,90
C11,55.400000mm,-73.700000mm,Top,0
C12,48.900000mm,-69.800000mm,Top,90
C15,48.400000mm,-73.700000mm,Top,0
C16,65.760000mm,-64.860000mm,Top,180
C17,61.750000mm,-63.550000mm,Top,0
C18,61.750000mm,-60.430000mm,Top,0
C19,61.750000mm,-57.329000mm,Top,0
C21,124.040000mm,-51.820000mm,Top,180
C22,124.040000mm,-55.300000mm,Top,180
C23,124.040000mm,-58.710000mm,Top,180
Cb16,70.540000mm,-64.860000mm,Top,0
Cb21,124.040000mm,-62.100000mm,Top,180
Cb22,124.040000mm,-65.490000mm,Top,180
Cb23,123.990000mm,-68.910000mm,Top,180
D1,83.566000mm,-47.117000mm,Top,180
D2,81.915000mm,-58.280000mm,Top,270
D3,98.552000mm,-47.371000mm,Top,180
D4,97.149000mm,-58.464000mm,Top,270
D5,113.665000mm,-47.498000mm,Top,180
D6,118.745000mm,-47.498000mm,Top,0
D7,59.590000mm,-44.060000mm,Top,90
D8,45.990000mm,-44.140000mm,Top,0
D9,45.960000mm,-48.450000mm,Top,0
D10,45.990000mm,-46.280000mm,Top,0
H1,113.970000mm,-54.570000mm,Top,0
H2,117.860000mm,-54.560000mm,Top,0
H5,113.538000mm,-71.125000mm,Top,0
H6,117.478000mm,-71.125000mm,Top,0
J1,63.560000mm,-54.500000mm,Top,90
J2,106.235000mm,-68.030000mm,Top,270
Q1,77.089000mm,-48.260000mm,Top,90
Q2,77.075000mm,-60.055000mm,Top,90
Q3,92.203000mm,-48.304000mm,Top,90
Q4,92.203000mm,-60.207000mm,Top,90
Q5,107.188000mm,-48.328000mm,Top,90
Q6,107.188000mm,-60.478000mm,Top,90
R1,85.471000mm,-50.165000mm,Top,0
R2,83.080000mm,-54.220000mm,Top,0
R3,100.584000mm,-50.292000mm,Top,180
R4,98.290000mm,-54.420000mm,Top,0
R5,115.443000mm,-50.419000mm,Top,180
R6,118.364000mm,-44.323000mm,Top,0
R7,59.370000mm,-51.230000mm,Top,270
R8,45.270000mm,-53.660000mm,Top,180
R9,45.270000mm,-50.490000mm,Top,180
R10,45.270000mm,-52.070000mm,Top,180
R11,51.680000mm,-56.110000mm,Top,270
R12,47.550000mm,-56.140000mm,Top,90
R13,49.740000mm,-56.110000mm,Top,90
R14,60.950000mm,-51.200000mm,Top,270
R15,42.900000mm,-73.630000mm,Top,180
R16,61.750000mm,-65.120000mm,Top,180
R17,61.750000mm,-61.980000mm,Top,180
R18,61.750000mm,-58.890000mm,Top,180
R19,101.620000mm,-66.140000mm,Top,180
R20,118.590000mm,-66.920000mm,Top,180
R21,118.600000mm,-64.600000mm,Top,180
R22,118.600000mm,-62.300000mm,Top,180
R23,118.600000mm,-60.000000mm,Top,180
R24,118.600000mm,-57.700000mm,Top,180
R25,45.300000mm,-69.800000mm,Top,90
R26,59.350000mm,-73.700000mm,Top,180
R27,52.125000mm,-73.700000mm,Top,180
RV1,55.499000mm,-48.387000mm,Top,270
U1,49.200000mm,-63.400000mm,Top,90
U2,57.912000mm,-71.120000mm,Top,180
