Ref,Val,Package,PosX,PosY,Rot,Side
"C0","10nF","C_1206_3216Metric",56.990000,-42.820000,90.000000,top
"C1","10nF","C_1206_3216Metric",45.755000,-42.722000,90.000000,top
"C2","10nF","C_1206_3216Metric",63.540000,-39.290000,180.000000,top
"C3","10nF","C_1206_3216Metric",70.670000,-48.450000,-90.000000,top
"C4","10nF","C_1206_3216Metric",70.540000,-36.950000,-90.000000,top
"D1","LED","D_0805_2012Metric",60.840000,-36.340000,90.000000,top
"D2","LED","D_0805_2012Metric",67.030000,-36.320000,90.000000,top
"R1","20k","R_0603_1608Metric",83.969300,-52.094600,180.000000,top
"R2","20k","R_0603_1608Metric",86.230000,-43.220000,180.000000,top
"R3","20k","R_0603_1608Metric",42.605300,-35.800500,180.000000,top
"R4","20k","R_0603_1608Metric",53.832200,-35.902100,180.000000,top
"R5","20k","R_0603_1608Metric",58.280000,-38.200000,0.000000,top
"R6","20k","R_0603_1608Metric",58.280000,-39.740000,0.000000,top
"R7","20k","R_0603_1608Metric",69.810000,-40.380000,180.000000,top
"R8","20k","R_0603_1608Metric",67.520000,-38.840000,180.000000,top
"U1","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",77.060500,-38.594500,90.000000,top
"U2","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",77.060500,-48.691000,90.000000,top
"U3","CD4051B","SOP-16_4.55x10.3mm_P1.27mm",40.040000,-45.770000,180.000000,top
"U4","CD4051B","SOP-16_4.55x10.3mm_P1.27mm",51.470000,-45.770000,180.000000,top
"U5","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",64.420000,-45.780000,0.000000,top
