Designator,Mid X,Mid Y,Layer,Rotation
C0,56.990000mm,-42.820000mm,Top,90
C1,45.755000mm,-42.722000mm,Top,90
C2,63.540000mm,-39.290000mm,Top,180
C3,70.670000mm,-48.450000mm,Top,270
C4,70.540000mm,-36.950000mm,Top,270
D1,60.840000mm,-36.340000mm,Top,90
D2,67.030000mm,-36.320000mm,Top,90
R1,83.969300mm,-52.094600mm,Top,180
R2,86.230000mm,-43.220000mm,Top,180
R3,42.605300mm,-35.800500mm,Top,180
R4,53.832200mm,-35.902100mm,Top,180
R5,58.280000mm,-38.200000mm,Top,0
R6,58.280000mm,-39.740000mm,Top,0
R7,69.810000mm,-40.380000mm,Top,180
R8,67.520000mm,-38.840000mm,Top,180
U1,77.060500mm,-38.594500mm,Top,90
U2,77.060500mm,-48.691000mm,Top,90
U3,40.040000mm,-45.770000mm,Top,180
U4,51.470000mm,-45.770000mm,Top,180
U5,64.420000mm,-45.780000mm,Top,0
